,x,y,labels
189,63.536842,47.725285,akin
190,61.81778,50.04346,ako
191,65.32404,49.331257,akong
192,27.868723,43.57062,aku
193,19.010805,65.47219,al
194,-19.174955,58.341927,alabama
195,65.65969,48.97138,alam
196,-0.9709398,51.804283,alan
197,5.6327486,41.10724,alana
198,22.454132,-19.92052,alarm
199,13.0838585,-6.3906107,alas
200,-13.678613,-3.0453136,albeit
201,-0.7543398,42.528652,albert
202,-28.959211,48.046745,album
203,-30.434559,46.581482,albums
204,-68.332214,12.05623,alcohol
205,-70.28259,15.496128,alcoholic
206,6.2336073,42.039597,alec
207,-18.789217,3.7134075,alert
208,62.392086,-4.0346627,alex
209,40.71482,3.5546222,algebra
210,11.319107,50.055576,ali
211,-20.908308,25.142757,alias
212,3.4836774,55.336876,alice
213,12.796493,48.698154,alicia
214,-29.776138,26.933943,alien
215,-29.722483,26.954165,aliens
216,-8.650743,-5.2857685,alike
217,9.145914,41.836758,alisha
218,8.856723,49.24005,alison
219,12.449035,14.027349,alittle
220,18.489454,-53.916367,alive
221,-30.260942,-17.3113,allah
222,-24.4653,-21.782583,allegiance
223,21.219383,57.362007,allen
224,-49.00681,20.757977,allergic
225,-49.252552,20.601223,allergies
226,-36.479424,11.454916,alley
227,13.563128,51.943962,allie
228,-39.682228,-26.094313,allies
229,13.196187,52.944344,allison
230,16.998053,19.882717,alll
231,18.90755,-47.180515,allow
232,26.011086,-39.7612,allowed
233,-10.889422,-37.843838,allowing
234,-7.249685,-52.095306,allows
235,4.124948,41.009323,ally
236,-28.572054,-18.161,almighty
237,55.40393,-22.845402,alot
238,-52.26997,-19.93371,aloud
239,-21.702688,11.006251,alpha
240,-10.360012,9.761168,alphabet
241,46.846176,-18.790836,alright
242,22.119497,25.861961,alrighty
243,49.511417,30.740211,alrite
244,-14.570906,-19.094275,alter
245,-0.40403685,-33.206753,alternate
246,-10.965651,-30.520113,alternative
247,25.997366,18.358934,altho
248,-54.315693,-20.312506,altogether
249,35.219177,43.195763,alvin
250,45.966488,29.562231,alwayz
251,13.225322,50.448425,alyssa
252,59.895206,-2.1032245,amanda
253,4.8586802,-8.460771,amazed
254,37.623344,-47.39436,amazing
255,19.102142,-3.1559036,amazingly
256,-21.638783,12.859347,amazon
257,13.393934,54.20956,amber
258,-13.945106,-13.9410095,ambition
259,-29.904968,5.2538104,ambulance
260,0.21112601,35.330166,amed
261,17.715805,39.681408,amelia
262,-28.936174,-17.606499,amen
263,-43.241604,-30.621479,amendment
264,4.336048,-61.621647,america
265,4.4400673,-61.570427,american
266,-42.69147,-28.145523,americans
267,16.674805,70.03095,amigos
268,-40.178116,-12.02225,amounts
269,33.674164,-41.323414,amp
270,-1.0611707,7.333744,amused
271,-31.581375,14.477915,amusement
272,19.824133,-2.9096966,amusing
273,59.727882,-1.2941407,amy
274,5.474031,10.543756,anal
275,-22.103447,-21.074389,analogy
276,-7.8807197,-24.51483,analysis
277,-11.2418375,-22.27864,analyze
278,-22.965471,27.447746,anchorman
279,-42.197014,34.919693,ancient
280,-0.51294017,50.814686,anderson
281,1.4589785,21.68955,andi
282,14.453236,51.73743,andrea
283,60.664577,-4.2032514,andrew
284,59.865105,-4.8585,andy
285,60.65138,49.840042,ang
286,13.33139,-56.331398,angel
287,15.310573,52.16639,angela
288,-14.352629,58.36841,angeles
289,12.71013,-28.233122,angels
290,5.746529,-53.33664,anger
291,13.743383,48.869987,angie
292,-39.90365,5.3251824,angle
293,38.021763,-12.674472,angry
294,-31.691202,-37.95391,angst
295,50.184692,25.51085,ani
296,-41.37837,26.46018,animal
297,-41.3056,26.509296,animals
298,-23.853151,24.92986,animated
299,-0.640598,-28.48077,animation
300,25.345728,-3.6888113,anime
301,55.48688,20.348272,aniwae
302,-57.563957,-6.811702,ankle
303,17.461594,45.795048,ann
304,59.772926,-0.19261687,anna
305,4.706216,50.396503,anne
306,14.162418,50.725483,annie
307,10.535862,27.334703,anniversary
308,-2.5906446,13.906932,announce
309,-24.966675,-0.7332048,announced
310,-16.202335,-0.80727714,announcement
311,6.0425377,4.717252,annoy
312,-50.435474,14.255309,annoyance
313,14.087205,1.2538942,annoyed
314,44.169395,-16.137009,annoying
315,5.730888,4.880863,annoys
316,4.838882,30.83686,annual
317,64.15407,49.896572,ano
318,3.3064535,-25.421251,anonymous
319,56.76598,20.285376,anot
320,52.65049,23.629961,ans
321,30.464567,-42.474976,answer
322,9.902145,-11.319782,answered
323,9.658834,-10.598509,answering
324,16.097475,-36.84818,answers
325,-37.84772,18.294325,ant
326,-21.752762,40.22895,anthem
327,8.399094,55.901703,anthony
